# Constructed from biom file
#OTU ID	D1	D3	WC	D5	SW	D4	D6	D2	taxonomy
OTU_50	340.0	171.0	2.0	0.0	1.0	0.0	0.0	2021.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Thermodesulfovibrionia; D_3__uncultured; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_258	0.0	49.0	0.0	0.0	0.0	0.0	0.0	290.0	D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Candidatus Kerfeldbacteria; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
OTU_765	8.0	1.0	0.0	0.0	0.0	0.0	76.0	19.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia
OTU_12	0.0	0.0	1.0	4725.0	0.0	2115.0	0.0	0.0	D_0__Bacteria; D_1__Omnitrophicaeota; D_2__uncultured Omnitrophica bacterium; D_3__uncultured Omnitrophica bacterium; D_4__uncultured Omnitrophica bacterium; D_5__uncultured Omnitrophica bacterium; D_6__uncultured Omnitrophica bacterium
OTU_100	0.0	1043.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU_52	0.0	0.0	7.0	0.0	1248.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales
OTU_6163	67.0	0.0	2.0	0.0	0.0	0.0	0.0	13.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_989	31.0	57.0	0.0	0.0	0.0	0.0	0.0	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria
OTU_249	8.0	0.0	4.0	0.0	0.0	0.0	0.0	352.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfobacterales; D_4__Desulfobulbaceae
OTU_338	0.0	0.0	354.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Polynucleobacter
OTU_259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	D_0__Archaea; D_1__Nanoarchaeaeota; D_2__Woesearchaeia; D_3__uncultured euryarchaeote; D_4__uncultured euryarchaeote; D_5__uncultured euryarchaeote; D_6__uncultured euryarchaeote
OTU_24	1.0	5.0	10.0	727.0	2.0	5.0	3283.0	12.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfarculales; D_4__Desulfarculaceae; D_5__Desulfatiglans
OTU_88	0.0	0.0	0.0	0.0	711.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Dadabacteria; D_2__Dadabacteriia; D_3__Dadabacteriales
OTU_136	28.0	15.0	56.0	848.0	3.0	271.0	19.0	594.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Rhodocyclaceae
OTU_226	0.0	371.0	0.0	0.0	0.0	0.0	0.0	3.0	D_0__Bacteria; D_1__LCP-89; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_132	26.0	0.0	19.0	0.0	502.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Holosporales; D_4__Holosporaceae; D_5__uncultured
OTU_982	0.0	46.0	0.0	0.0	0.0	0.0	0.0	5.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Myxococcales; D_4__P3OB-42
OTU_1115	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__mle1-8
