#Genome	Step1	Step2	Taxonomic Group	Coverage value(average)
SW_74	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-01:Organic carbon oxidation	O-S-01:Metal reduction	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-01:Organic carbon oxidation	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-02:Carbon fixation	C-S-09:Hydrogen oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-02:Carbon fixation	N-S-06:Nitric oxide reduction	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-02:Carbon fixation	N-S-08:Nitrite ammonification	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-02:Carbon fixation	O-S-01:Metal reduction	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-02:Carbon fixation	S-S-03:Sulfur oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-02:Carbon fixation	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-09:Hydrogen oxidation	N-S-06:Nitric oxide reduction	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-09:Hydrogen oxidation	N-S-08:Nitrite ammonification	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-09:Hydrogen oxidation	O-S-01:Metal reduction	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-09:Hydrogen oxidation	S-S-03:Sulfur oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-09:Hydrogen oxidation	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-06:Nitric oxide reduction	N-S-08:Nitrite ammonification	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-06:Nitric oxide reduction	O-S-01:Metal reduction	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-06:Nitric oxide reduction	S-S-03:Sulfur oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-06:Nitric oxide reduction	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-08:Nitrite ammonification	O-S-01:Metal reduction	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-08:Nitrite ammonification	S-S-03:Sulfur oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	N-S-08:Nitrite ammonification	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_74	O-S-01:Metal reduction	S-S-03:Sulfur oxidation	Verrucomicrobiota	0.00199379124832308
SW_74	O-S-01:Metal reduction	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_74	S-S-03:Sulfur oxidation	S-S-09:Thiosulfate disproportionation 2	Verrucomicrobiota	0.00199379124832308
SW_75	C-S-01:Organic carbon oxidation	O-S-04:Selenate reduction	Chloroflexota	0.00233814068779255
SW_75	C-S-01:Organic carbon oxidation	S-S-04:Sulfite oxidation	Chloroflexota	0.00233814068779255
SW_75	C-S-01:Organic carbon oxidation	S-S-05:Sulfate reduction	Chloroflexota	0.00233814068779255
SW_75	O-S-04:Selenate reduction	S-S-04:Sulfite oxidation	Chloroflexota	0.00233814068779255
SW_75	O-S-04:Selenate reduction	S-S-05:Sulfate reduction	Chloroflexota	0.00233814068779255
SW_75	S-S-04:Sulfite oxidation	S-S-05:Sulfate reduction	Chloroflexota	0.00233814068779255
SW_76	C-S-01:Organic carbon oxidation	S-S-04:Sulfite oxidation	Alphaproteobacteria	0.00272277258017323
SW_76	C-S-01:Organic carbon oxidation	S-S-05:Sulfate reduction	Alphaproteobacteria	0.00272277258017323
SW_76	S-S-04:Sulfite oxidation	S-S-05:Sulfate reduction	Alphaproteobacteria	0.00272277258017323
SW_79	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Planctomycetota	0.00514926685913096
SW_79	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Planctomycetota	0.00514926685913096
SW_79	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Planctomycetota	0.00514926685913096
SW_79	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Planctomycetota	0.00514926685913096
SW_79	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Planctomycetota	0.00514926685913096
SW_79	N-S-06:Nitric oxide reduction	N-S-08:Nitrite ammonification	Planctomycetota	0.00514926685913096
SW_8	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Bacteroidota	0.00461301632618982
SW_8	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Bacteroidota	0.00461301632618982
SW_8	C-S-01:Organic carbon oxidation	N-S-07:Nitrous oxide reduction	Bacteroidota	0.00461301632618982
SW_8	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Bacteroidota	0.00461301632618982
SW_8	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Bacteroidota	0.00461301632618982
SW_8	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Bacteroidota	0.00461301632618982
SW_8	C-S-06:Fermentation	N-S-07:Nitrous oxide reduction	Bacteroidota	0.00461301632618982
SW_8	C-S-06:Fermentation	O-S-02:Arsenate reduction	Bacteroidota	0.00461301632618982
SW_8	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Bacteroidota	0.00461301632618982
SW_8	N-S-06:Nitric oxide reduction	N-S-07:Nitrous oxide reduction	Bacteroidota	0.00461301632618982
SW_8	N-S-06:Nitric oxide reduction	O-S-02:Arsenate reduction	Bacteroidota	0.00461301632618982
SW_8	N-S-06:Nitric oxide reduction	S-S-03:Sulfur oxidation	Bacteroidota	0.00461301632618982
SW_8	N-S-07:Nitrous oxide reduction	O-S-02:Arsenate reduction	Bacteroidota	0.00461301632618982
SW_8	N-S-07:Nitrous oxide reduction	S-S-03:Sulfur oxidation	Bacteroidota	0.00461301632618982
SW_8	O-S-02:Arsenate reduction	S-S-03:Sulfur oxidation	Bacteroidota	0.00461301632618982
SW_80	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.00373961265211192
SW_80	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.00373961265211192
SW_80	C-S-04:Acetate oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.00373961265211192
SW_81	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Nitrospirota	0.00393104647538275
SW_81	C-S-01:Organic carbon oxidation	N-S-05:Nitrite reduction	Nitrospirota	0.00393104647538275
SW_81	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Nitrospirota	0.00393104647538275
SW_81	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Nitrospirota	0.00393104647538275
SW_81	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Nitrospirota	0.00393104647538275
SW_81	C-S-01:Organic carbon oxidation	S-S-07:Thiosulfate oxidation	Nitrospirota	0.00393104647538275
SW_81	C-S-01:Organic carbon oxidation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
SW_81	C-S-06:Fermentation	N-S-05:Nitrite reduction	Nitrospirota	0.00393104647538275
SW_81	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Nitrospirota	0.00393104647538275
SW_81	C-S-06:Fermentation	O-S-02:Arsenate reduction	Nitrospirota	0.00393104647538275
SW_81	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Nitrospirota	0.00393104647538275
SW_81	C-S-06:Fermentation	S-S-07:Thiosulfate oxidation	Nitrospirota	0.00393104647538275
SW_81	C-S-06:Fermentation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
SW_81	N-S-05:Nitrite reduction	N-S-08:Nitrite ammonification	Nitrospirota	0.00393104647538275
SW_81	N-S-05:Nitrite reduction	O-S-02:Arsenate reduction	Nitrospirota	0.00393104647538275
SW_81	N-S-05:Nitrite reduction	S-S-03:Sulfur oxidation	Nitrospirota	0.00393104647538275
SW_81	N-S-05:Nitrite reduction	S-S-07:Thiosulfate oxidation	Nitrospirota	0.00393104647538275
SW_81	N-S-05:Nitrite reduction	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
SW_81	N-S-08:Nitrite ammonification	O-S-02:Arsenate reduction	Nitrospirota	0.00393104647538275
SW_81	N-S-08:Nitrite ammonification	S-S-03:Sulfur oxidation	Nitrospirota	0.00393104647538275
SW_81	N-S-08:Nitrite ammonification	S-S-07:Thiosulfate oxidation	Nitrospirota	0.00393104647538275
SW_81	N-S-08:Nitrite ammonification	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
SW_81	O-S-02:Arsenate reduction	S-S-03:Sulfur oxidation	Nitrospirota	0.00393104647538275
SW_81	O-S-02:Arsenate reduction	S-S-07:Thiosulfate oxidation	Nitrospirota	0.00393104647538275
SW_81	O-S-02:Arsenate reduction	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
SW_81	S-S-03:Sulfur oxidation	S-S-07:Thiosulfate oxidation	Nitrospirota	0.00393104647538275
SW_81	S-S-03:Sulfur oxidation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
SW_81	S-S-07:Thiosulfate oxidation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.00393104647538275
