	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_16500_1.txt	16500	1	1209.49032258	658.359550562	3931.4362069	338.789473684	515.1	262.444444444	321.12195122	901.87826087
alpha_rarefaction_16500_2.txt	16500	2	1239.796875	695.488636364	3994.26153846	352.9375	518.595744681	242.034482759	309.206896552	905.057377049
alpha_rarefaction_16500_3.txt	16500	3	1210.6875	675.345679012	3926.51269036	327.166666667	529.023809524	232.142857143	351.896551724	875.186046512
alpha_rarefaction_16500_4.txt	16500	4	1226.99328859	706.24742268	4005.00520833	330.076923077	521.222222222	257.085714286	302.692307692	902.927927928
alpha_rarefaction_16500_5.txt	16500	5	1216.38194444	698.72972973	3907.49479167	344.055555556	550.135135135	264.058823529	318.285714286	884.095238095
alpha_rarefaction_16500_6.txt	16500	6	1264.10204082	770.14084507	3965.20689655	321.666666667	531.42	255.2	320.394736842	868.061068702
alpha_rarefaction_16500_7.txt	16500	7	1232.01315789	678.608695652	4190.05956679	333.307692308	490.518518519	257.75	298.56097561	913.085470085
alpha_rarefaction_16500_8.txt	16500	8	1211.26451613	662.319148936	3909.4059754	359.0	519.583333333	254.230769231	337.666666667	886.884615385
alpha_rarefaction_16500_9.txt	16500	9	1233.6	699.208333333	4063.7122807	330.791666667	475.886792453	243.125	329.384615385	839.913043478
alpha_rarefaction_17500_0.txt	17500	0	1203.53378378	692.538461538	4061.88888889	328.913043478	540.418181818	242.535714286	347.933333333	886.830188679
alpha_rarefaction_17500_1.txt	17500	1	1253.80666667	709.4375	3997.07627119	323.714285714	521.625	281.833333333	346.1875	907.652542373
alpha_rarefaction_17500_2.txt	17500	2	1216.04819277	715.012345679	4044.01733102	317.538461538	477.25	268.047619048	329.071428571	866.026315789
alpha_rarefaction_17500_3.txt	17500	3	1241.35555556	684.2875	4000.48058252	339.789473684	517.024390244	253.833333333	329.023809524	878.879310345
alpha_rarefaction_17500_4.txt	17500	4	1212.9	692.666666667	3998.60067682	339.333333333	517.333333333	243.454545455	345.285714286	897.866666667
alpha_rarefaction_17500_5.txt	17500	5	1245.34615385	717.113924051	4106.6953405	349.714285714	507.775510204	253.666666667	315.294117647	914.115044248
alpha_rarefaction_17500_6.txt	17500	6	1249.35294118	692.261904762	3899.69686985	330.142857143	551.42	263.12	335.692307692	973.0
alpha_rarefaction_17500_7.txt	17500	7	1181.34591195	692.261363636	4123.0	324.3	507.448979592	244.434782609	325.783783784	895.625
alpha_rarefaction_17500_8.txt	17500	8	1184.5	699.683544304	3946.78991597	329.111111111	514.075	270.166666667	359.65625	902.724137931
alpha_rarefaction_17500_9.txt	17500	9	1239.6875	662.369047619	4006.27687296	345.75	535.4375	266.913043478	353.078947368	918.068965517
alpha_rarefaction_18500_0.txt	18500	0	1213.20149254	673.153846154	4144.53191489	330.375	572.4	247.136363636	333.028571429	936.271028037
alpha_rarefaction_18500_1.txt	18500	1	1212.32867133	701.577464789	4049.35714286	349.055555556	499.8125	258.25	347.0	911.0
alpha_rarefaction_18500_2.txt	18500	2	1231.32450331	699.679012346	4018.66666667	327.0	511.06	245.15625	333.372093023	888.48245614
alpha_rarefaction_18500_3.txt	18500	3	1233.44029851	707.12195122	4239.02483444	320.071428571	530.024390244	258.5	345.03030303	874.370967742
alpha_rarefaction_18500_4.txt	18500	4	1272.16	693.381443299	4016.13793103	318.8	550.5	267.291666667	311.666666667	936.010204082
alpha_rarefaction_18500_5.txt	18500	5	1195.14814815	658.75862069	3986.90701468	315.55	523.394736842	257.75	320.363636364	925.532110092
alpha_rarefaction_18500_6.txt	18500	6	1262.17910448	718.518518519	4086.6048	376.647058824	501.185185185	269.038461538	348.517241379	939.568807339
alpha_rarefaction_18500_7.txt	18500	7	1221.73076923	707.628205128	3984.95932203	339.307692308	509.153846154	257.25	312.731707317	919.918918919
alpha_rarefaction_18500_8.txt	18500	8	1224.58709677	690.362745098	4050.552	338.0	519.277777778	257.0	339.772727273	898.287128713
alpha_rarefaction_18500_9.txt	18500	9	1230.02272727	690.784090909	4186.92307692	327.647058824	544.0	234.538461538	308.526315789	908.552631579
alpha_rarefaction_19500_0.txt	19500	0	1223.0	685.618421053	4008.04078303	328.473684211	513.0	256.0	341.033333333	973.196261682
alpha_rarefaction_19500_1.txt	19500	1	1240.93421053	691.683544304	4038.10638298	340.1875	504.727272727	262.05	328.034482759	924.390909091
alpha_rarefaction_19500_2.txt	19500	2	1224.8125	682.325301205	4207.3442623	358.0	535.071428571	263.25	353.3125	873.737288136
alpha_rarefaction_19500_3.txt	19500	3	1247.35658915	698.581395349	4277.04628099	336.136363636	526.15	256.956521739	308.125	963.0
alpha_rarefaction_19500_4.txt	19500	4	1253.02	698.8	4143.20900322	337.230769231	572.56097561	276.454545455	342.535714286	915.377952756
alpha_rarefaction_19500_5.txt	19500	5	1210.56410256	713.785714286	4067.5394958	344.714285714	528.466666667	269.055555556	352.7	962.366071429
alpha_rarefaction_19500_6.txt	19500	6	1247.20149254	690.3125	4137.72990354	335.076923077	540.571428571	249.533333333	331.076923077	923.422413793
alpha_rarefaction_19500_7.txt	19500	7	1232.32061069	725.4375	4003.79411765	350.058823529	493.942307692	265.25	295.488372093	888.641025641
alpha_rarefaction_19500_8.txt	19500	8	1219.38686131	699.09375	4098.6941896	332.625	521.42	264.555555556	319.5	876.217741935
