	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_16500_4.txt	16500	4	1114.0	613.0	2848.0	311.0	440.0	237.0	270.0	729.0
alpha_rarefaction_16500_5.txt	16500	5	1102.0	594.0	2837.0	311.0	432.0	227.0	266.0	722.0
alpha_rarefaction_16500_6.txt	16500	6	1126.0	619.0	2836.0	300.0	444.0	230.0	269.0	731.0
alpha_rarefaction_16500_7.txt	16500	7	1105.0	601.0	2885.0	313.0	432.0	228.0	261.0	743.0
alpha_rarefaction_16500_8.txt	16500	8	1105.0	595.0	2814.0	308.0	438.0	230.0	263.0	725.0
alpha_rarefaction_16500_9.txt	16500	9	1102.0	595.0	2866.0	306.0	429.0	225.0	259.0	706.0
alpha_rarefaction_17500_0.txt	17500	0	1111.0	601.0	2938.0	310.0	454.0	227.0	272.0	728.0
alpha_rarefaction_17500_1.txt	17500	1	1129.0	603.0	2914.0	307.0	449.0	234.0	275.0	749.0
alpha_rarefaction_17500_2.txt	17500	2	1119.0	605.0	2899.0	306.0	424.0	229.0	278.0	734.0
alpha_rarefaction_17500_3.txt	17500	3	1118.0	598.0	2937.0	312.0	438.0	228.0	284.0	740.0
alpha_rarefaction_17500_4.txt	17500	4	1116.0	612.0	2902.0	311.0	438.0	225.0	271.0	741.0
alpha_rarefaction_17500_5.txt	17500	5	1113.0	606.0	2902.0	318.0	440.0	233.0	270.0	745.0
alpha_rarefaction_17500_6.txt	17500	6	1132.0	600.0	2893.0	308.0	464.0	235.0	279.0	754.0
alpha_rarefaction_17500_7.txt	17500	7	1112.0	607.0	2960.0	304.0	438.0	228.0	273.0	737.0
alpha_rarefaction_17500_8.txt	17500	8	1109.0	600.0	2903.0	313.0	439.0	236.0	282.0	743.0
alpha_rarefaction_17500_9.txt	17500	9	1118.0	591.0	2934.0	316.0	452.0	233.0	282.0	760.0
alpha_rarefaction_18500_0.txt	18500	0	1111.0	612.0	2967.0	305.0	456.0	226.0	279.0	754.0
alpha_rarefaction_18500_1.txt	18500	1	1120.0	606.0	2988.0	316.0	442.0	237.0	280.0	740.0
alpha_rarefaction_18500_2.txt	18500	2	1127.0	613.0	2981.0	309.0	443.0	235.0	285.0	744.0
alpha_rarefaction_18500_3.txt	18500	3	1130.0	608.0	3042.0	302.0	445.0	233.0	276.0	743.0
alpha_rarefaction_18500_4.txt	18500	4	1127.0	621.0	3011.0	305.0	453.0	238.0	275.0	737.0
alpha_rarefaction_18500_5.txt	18500	5	1128.0	596.0	2961.0	304.0	436.0	228.0	272.0	752.0
alpha_rarefaction_18500_6.txt	18500	6	1131.0	615.0	3024.0	321.0	447.0	242.0	279.0	757.0
alpha_rarefaction_18500_7.txt	18500	7	1135.0	613.0	2953.0	319.0	438.0	234.0	271.0	753.0
alpha_rarefaction_18500_8.txt	18500	8	1133.0	618.0	2975.0	309.0	438.0	228.0	288.0	737.0
alpha_rarefaction_18500_9.txt	18500	9	1116.0	611.0	2977.0	307.0	455.0	223.0	268.0	756.0
alpha_rarefaction_19500_0.txt	19500	0	1145.0	611.0	3013.0	310.0	453.0	234.0	278.0	772.0
alpha_rarefaction_19500_1.txt	19500	1	1153.0	613.0	3038.0	313.0	445.0	234.0	273.0	773.0
alpha_rarefaction_19500_2.txt	19500	2	1143.0	614.0	3067.0	313.0	446.0	237.0	280.0	752.0
alpha_rarefaction_19500_3.txt	19500	3	1136.0	625.0	3082.0	315.0	439.0	234.0	271.0	764.0
alpha_rarefaction_19500_4.txt	19500	4	1148.0	610.0	3055.0	306.0	459.0	241.0	275.0	771.0
alpha_rarefaction_19500_5.txt	19500	5	1137.0	623.0	3020.0	318.0	451.0	236.0	279.0	772.0
alpha_rarefaction_19500_6.txt	19500	6	1145.0	629.0	3070.0	316.0	457.0	236.0	281.0	767.0
alpha_rarefaction_19500_7.txt	19500	7	1134.0	619.0	3063.0	319.0	442.0	239.0	267.0	754.0
alpha_rarefaction_19500_8.txt	19500	8	1130.0	632.0	3092.0	309.0	455.0	237.0	270.0	759.0
alpha_rarefaction_19500_9.txt	19500	9	1138.0	625.0	3059.0	307.0	446.0	228.0	285.0	761.0
alpha_rarefaction_20500_0.txt	20500	0	1137.0	617.0	3071.0	320.0	454.0	237.0	276.0	776.0
alpha_rarefaction_20500_1.txt	20500	1	1141.0	617.0	3105.0	307.0	458.0	242.0	275.0	786.0
alpha_rarefaction_20500_2.txt	20500	2	1157.0	612.0	3095.0	320.0	468.0	239.0	275.0	785.0
alpha_rarefaction_20500_3.txt	20500	3	1132.0	622.0	3130.0	318.0	460.0	233.0	279.0	761.0
alpha_rarefaction_20500_4.txt	20500	4	1147.0	628.0	3102.0	316.0	454.0	243.0	270.0	767.0
alpha_rarefaction_20500_5.txt	20500	5	1152.0	615.0	3101.0	316.0	450.0	238.0	285.0	755.0
