	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_9500_4.txt	9500	4	1267.52655072	635.238370063	3963.48499142	377.958143246	534.113856684	268.187038247	337.614449859	842.762407182
alpha_rarefaction_9500_5.txt	9500	5	1234.86095563	734.010014785	3766.13584177	348.444640627	556.804409886	255.802674411	393.777516394	915.240774737
alpha_rarefaction_9500_6.txt	9500	6	1226.52247898	735.007772995	3484.23625847	315.895886306	678.983515605	264.890699139	406.411765148	896.522563663
alpha_rarefaction_9500_7.txt	9500	7	1226.14461609	693.583893939	3722.20760087	330.172528721	548.612240006	251.752994521	313.34107876	984.898532925
alpha_rarefaction_9500_8.txt	9500	8	1182.86993067	671.142169408	3841.56581258	334.716104519	586.869947116	253.153995659	312.34107876	918.707587677
alpha_rarefaction_9500_9.txt	9500	9	1273.11868562	655.5033095	3785.26604126	321.908720263	525.876804983	252.549784885	332.16487765	847.662450732
alpha_rarefaction_10500_0.txt	10500	0	1213.34157636	696.972655482	4002.41968569	349.878572006	562.934931487	249.098065481	311.526428748	894.304941323
alpha_rarefaction_10500_1.txt	10500	1	1278.95830056	714.963576836	3949.47107016	365.217266613	588.186202409	274.147740856	333.224666292	858.105751519
alpha_rarefaction_10500_2.txt	10500	2	1202.52525178	711.873884454	3864.01560876	334.826728879	623.244209162	255.36709836	300.982707069	926.637076827
alpha_rarefaction_10500_3.txt	10500	3	1266.54167526	640.633399462	3722.95607116	339.691098793	575.949102735	238.449175903	332.143054269	903.868518498
alpha_rarefaction_10500_4.txt	10500	4	1184.40580592	705.799076161	4084.64407745	341.716104519	614.877517066	286.808404898	322.855296677	931.521262126
alpha_rarefaction_10500_5.txt	10500	5	1194.10030163	764.438677458	4122.02166807	367.106894048	559.244665361	307.730263353	322.778388256	860.592805238
alpha_rarefaction_10500_6.txt	10500	6	1247.49259551	712.472839572	3965.08153751	377.367634752	529.084883092	257.802674411	392.507052045	840.26223956
alpha_rarefaction_10500_7.txt	10500	7	1245.56813412	720.012304962	3864.40678569	349.33663816	605.25657069	251.574789602	355.531324302	993.935952238
alpha_rarefaction_10500_8.txt	10500	8	1361.98893705	647.199756154	3971.02177676	335.591783009	558.745594682	269.33663816	381.245060681	986.165324808
alpha_rarefaction_10500_9.txt	10500	9	1247.21974246	748.584093746	3862.18511747	320.611473467	572.048053717	254.826728879	365.127057075	921.290059129
alpha_rarefaction_11500_0.txt	11500	0	1271.91018965	738.123635267	3968.5565806	337.100453533	538.398841309	290.964015061	333.112925543	917.221097193
alpha_rarefaction_11500_1.txt	11500	1	1287.08090323	685.552414956	3875.67576269	370.217266613	598.915763175	269.375428148	307.964015061	918.9564725
alpha_rarefaction_11500_2.txt	11500	2	1209.01929743	698.039417728	3871.63671448	369.299322082	519.18716086	273.315577353	366.086542675	1013.94580254
alpha_rarefaction_11500_3.txt	11500	3	1321.27688968	778.075704205	4087.56514293	337.591783009	495.007799654	281.198563252	383.097803161	971.685476451
alpha_rarefaction_11500_4.txt	11500	4	1242.03175234	692.679277998	3943.89498348	360.223570452	540.51885406	298.367634752	408.203381056	887.789496108
alpha_rarefaction_11500_5.txt	11500	5	1226.31283963	689.147204514	4208.11539191	355.593905534	543.266665931	285.543533683	321.050903882	874.040135674
