site,genome,domain,phylum,class,order,family,genus,species
D3,75,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D3,92,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D3,30,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D3,90,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,
D3,8,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,,
D3,55,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,
D3,12,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D4,9,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,,
D4,27,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,
D4,28,Archaea,Thermoplasmatota,CG49143,CG49143,,,
D4,34,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,RBG-16-62-10,
D4,29,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,
D4,25,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,
D4,13,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechlorosoma,Dechlorosoma suillum
D4,37,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D4,8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
D4,39,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,24,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,12,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770725.1
D4,41,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,
D4,40,Bacteria,Chloroflexota,Anaerolineae,UBA7937,UBA7937,,
D4,23,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D4,32,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
D4,35,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D4,21,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D4,22,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,
D4,36,Bacteria,Patescibacteria,ABY1,UBA2591,UBA2591,,
D4,20,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D4,26,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,
D4,14,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D4,43,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D4,15,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D4,7,Bacteria,Omnitrophota,koll11,UBA6215,UBA6215,,
D4,10,Bacteria,UBA9089,UBA9088,UBA9088,,,
D4,31,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,,,
D4,6,Bacteria,Gemmatimonadota,GCA-2686955,,,,
D4,4,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D4,5,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
D4,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,
D4,16,Bacteria,Planctomycetota,Brocadiae,,,,
D4,18,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,,
D4,11,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D4,33,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D4,30,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,
D4,45,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
D4,17,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
D4,44,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
D4,42,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
D4,1,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,28-57-27,
D4,3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,
D4,38,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,
D4,19,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,
D5,51,Archaea,JdFR-18,JdFR-18,JdFR-18,,,
D5,44,Archaea,JdFR-18,JdFR-18,JdFR-18,,,
D5,50,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,,
D5,54,Archaea,Thermoplasmatota,CG49143,CG49143,,,
D5,17,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,
D5,32,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,
