site,genome,domain,phylum,class,order,family,genus,species
D3,87,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,NA
D3,83,Bacteria,Omnitrophota,koll11,UBA10183,NA,NA,NA
D3,71,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,NA,NA
D3,73,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628,NA
D3,7,Bacteria,Goldbacteria-1,Goldbacteria-1,NA,NA,NA,NA
D3,22,Bacteria,Eisenbacteria,RBG-16-71-46,NA,NA,NA,NA
D3,1,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,NA
D3,99,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,NA,NA,NA
D3,21,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D3,3,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D3,85,Bacteria,Bacteroidota,UBA10030,UBA10030,NA,NA,NA
D3,9,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,NA,NA
D3,81,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,NA,NA
D3,6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D3,4,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,NA,NA
D3,5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,NA,NA
D3,2,Bacteria,AABM5-125-24,AABM5-125-24,NA,NA,NA,NA
D3,89,Bacteria,OLB16,OLB16,OLB16,OLB16,NA,NA
D3,45,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D3,52,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D3,66,Bacteria,Planctomycetota,NA,NA,NA,NA,NA
D3,68,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,NA
D3,77,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,NA,NA
D3,10,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,NA,NA
D3,97,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,NA,NA
D3,62,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D3,93,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D3,86,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D3,14,Bacteria,Desulfobacterota,Desulfobulbia,NA,NA,NA,NA
D3,16,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA5616,NA,NA
D3,32,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,NA
D3,31,Bacteria,Desulfobacterota,Desulfomonilia,UBA1062,UBA1062,NA,NA
D3,95,Bacteria,UBA10199,UBA10199,2-02-FULL-44-16,NA,NA,NA
D3,100,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,NA
D3,80,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,NA,NA
D3,26,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,NA
D3,98,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D3,75,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D3,92,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D3,30,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D3,90,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,NA
D3,8,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,NA,NA
D3,55,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,NA
D3,12,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D4,9,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,NA,NA
D4,27,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,NA
D4,28,Archaea,Thermoplasmatota,CG49143,CG49143,NA,NA,NA
D4,34,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,RBG-16-62-10,NA
D4,29,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA
D4,25,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,NA
D4,13,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechlorosoma,Dechlorosoma suillum
D4,37,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D4,8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
D4,39,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,24,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,12,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770725.1
D4,41,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,NA
D4,40,Bacteria,Chloroflexota,Anaerolineae,UBA7937,UBA7937,NA,NA
D4,23,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,NA,NA
D4,32,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
D4,35,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D4,21,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D4,22,Bacteria,Patescibacteria,ABY1,GCA-002771165,NA,NA,NA
D4,36,Bacteria,Patescibacteria,ABY1,UBA2591,UBA2591,NA,NA
D4,20,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,NA
D4,26,Bacteria,Actinobacteriota,UBA9087,UBA9087,NA,NA,NA
D4,14,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D4,43,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D4,15,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D4,7,Bacteria,Omnitrophota,koll11,UBA6215,UBA6215,NA,NA
D4,10,Bacteria,UBA9089,UBA9088,UBA9088,NA,NA,NA
D4,31,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,NA,NA,NA
D4,6,Bacteria,Gemmatimonadota,GCA-2686955,NA,NA,NA,NA
D4,4,Bacteria,Bacteroidota,UBA10030,UBA10030,NA,NA,NA
D4,5,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,NA,NA
D4,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,NA
D4,16,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D4,18,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,NA,NA
D4,11,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D4,33,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D4,30,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,NA
D4,45,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
D4,17,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
D4,44,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
D4,42,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
D4,1,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,28-57-27,NA
D4,3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,NA
D4,38,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D4,19,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D5,51,Archaea,JdFR-18,JdFR-18,JdFR-18,NA,NA,NA
D5,44,Archaea,JdFR-18,JdFR-18,JdFR-18,NA,NA,NA
D5,50,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,NA,NA
D5,54,Archaea,Thermoplasmatota,CG49143,CG49143,NA,NA,NA
D5,17,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,NA
D5,32,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA
D5,35,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalivibrionaceae,Thioalkalivibrio,GCF_000025545.1
D5,46,Bacteria,Patescibacteria,NA,NA,NA,NA,NA
D5,45,Bacteria,Patescibacteria,Kazan,NA,NA,NA,NA
