site,domain,phylum,class,order,family,genus,species,abundance
D3,Bacteria,Planctomycetota,Brocadiae,,,,,2
D3,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,,,1
D3,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,,1
D3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,,1
D3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,,1
D3,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,,,1
D3,Bacteria,UBA10199,UBA10199,2-02-FULL-44-16,,,,1
D3,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,,1
D3,Bacteria,Zixibacteria,MSB-5A5,,,,,2
D3,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,,1
D4,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,,,1
D4,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,,1
D4,Archaea,Thermoplasmatota,CG49143,CG49143,,,,1
D4,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,,1
D4,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,RBG-16-62-10,,1
D4,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,,1
D4,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,,1
D4,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,,1
D4,Bacteria,Bacteroidota,UBA10030,UBA10030,,,,1
D4,Bacteria,Chloroflexota,Anaerolineae,UBA7937,UBA7937,,,1
D4,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,,,1
D4,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,,,,1
D4,Bacteria,Gemmatimonadota,GCA-2686955,,,,,1
D4,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,,2
D4,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,,3
D4,Bacteria,Omnitrophota,koll11,UBA6215,UBA6215,,,1
D4,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,,1
D4,Bacteria,Patescibacteria,ABY1,UBA2591,UBA2591,,,1
D4,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,,1
D4,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,,2
D4,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,,1
D4,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,,1
D4,Bacteria,Planctomycetota,Brocadiae,,,,,1
D4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,1
D4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5,1
D4,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,,1
D4,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,,2
D4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,2
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,,2
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770725.1,1
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1,2
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,,1
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,2
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechlorosoma,Dechlorosoma suillum,1
D4,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,28-57-27,,1
D4,Bacteria,UBA9089,UBA9088,UBA9088,,,,1
D5,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,,,1
D5,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,,1
D5,Archaea,JdFR-18,JdFR-18,JdFR-18,,,,2
D5,Archaea,Thermoplasmatota,CG49143,CG49143,,,,1
D5,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,,1
